"id","code","country_code","level","parent_id","name","english_name","postal_code","is_active","sort_order"
"282","","tw","2","15","燕巢區","","824","1","20"
"283","","tw","2","15","橋頭區","","825","1","21"
"284","","tw","2","15","梓官區","","826","1","22"
"285","","tw","2","15","彌陀區","","827","1","23"
"286","","tw","2","15","永安區","","828","1","24"
"287","","tw","2","15","湖內區","","829","1","25"
"288","","tw","2","15","鳳山區","","830","1","26"
"289","","tw","2","15","大寮區","","831","1","27"
"290","","tw","2","15","林園區","","832","1","28"
"291","","tw","2","15","鳥松區","","833","1","29"
"292","","tw","2","15","大樹區","","840","1","30"
"293","","tw","2","15","旗山區","","842","1","31"
"294","","tw","2","15","美濃區","","843","1","32"
"295","","tw","2","15","六龜區","","844","1","33"
"296","","tw","2","15","內門區","","845","1","34"
"297","","tw","2","15","杉林區","","846","1","35"
"298","","tw","2","15","甲仙區","","847","1","36"
"299","","tw","2","15","桃源區","","848","1","37"
"300","","tw","2","15","那瑪夏區","","849","1","38"
"301","","tw","2","15","茂林區","","851","1","39"
"302","","tw","2","15","茄萣區","","852","1","40"
"303","","tw","2","16","屏東市","","900","1","1"
"304","","tw","2","16","三地門鄉","","901","1","2"
"305","","tw","2","16","霧臺鄉","","902","1","3"
"306","","tw","2","16","瑪家鄉","","903","1","4"
"307","","tw","2","16","九如鄉","","904","1","5"
"308","","tw","2","16","里港鄉","","905","1","6"
"309","","tw","2","16","高樹鄉","","906","1","7"
"310","","tw","2","16","鹽埔鄉","","907","1","8"
"311","","tw","2","16","長治鄉","","908","1","9"
"312","","tw","2","16","麟洛鄉","","909","1","10"
"313","","tw","2","16","竹田鄉","","911","1","11"
"314","","tw","2","16","內埔鄉","","912","1","12"
"315","","tw","2","16","萬丹鄉","","913","1","13"
"316","","tw","2","16","潮州鎮","","920","1","14"
"317","","tw","2","16","泰武鄉","","921","1","15"
"318","","tw","2","16","來義鄉","","922","1","16"
"319","","tw","2","16","萬巒鄉","","923","1","17"
"320","","tw","2","16","崁頂鄉","","924","1","18"
"321","","tw","2","16","新埤鄉","","925","1","19"
"322","","tw","2","16","南州鄉","","926","1","20"
"323","","tw","2","16","林邊鄉","","927","1","21"
"324","","tw","2","16","東港鎮","","928","1","22"
"325","","tw","2","16","琉球鄉","","929","1","23"
"326","","tw","2","16","佳冬鄉","","931","1","24"
"327","","tw","2","16","新園鄉","","932","1","25"
"328","","tw","2","16","枋寮鄉","","940","1","26"
"329","","tw","2","16","枋山鄉","","941","1","27"
"330","","tw","2","16","春日鄉","","942","1","28"
"331","","tw","2","16","獅子鄉","","943","1","29"
"332","","tw","2","16","車城鄉","","944","1","30"
"333","","tw","2","16","牡丹鄉","","945","1","31"
"334","","tw","2","16","恆春鎮","","946","1","32"
"335","","tw","2","16","滿州鄉","","947","1","33"
"336","","tw","2","17","臺東市","","950","1","1"
"337","","tw","2","17","綠島鄉","","951","1","2"
"338","","tw","2","17","蘭嶼鄉","","952","1","3"
"339","","tw","2","17","延平鄉","","953","1","4"
"340","","tw","2","17","卑南鄉","","954","1","5"
"341","","tw","2","17","鹿野鄉","","955","1","6"
"342","","tw","2","17","關山鎮","","956","1","7"
"343","","tw","2","17","海端鄉","","957","1","8"
"344","","tw","2","17","池上鄉","","958","1","9"
"345","","tw","2","17","東河鄉","","959","1","10"
"346","","tw","2","17","成功鎮","","961","1","11"
"347","","tw","2","17","長濱鄉","","962","1","12"
"348","","tw","2","17","太麻里鄉","","963","1","13"
"349","","tw","2","17","金峰鄉","","964","1","14"
"350","","tw","2","17","大武鄉","","965","1","15"
"351","","tw","2","17","達仁鄉","","966","1","16"
"352","","tw","2","18","花蓮市","","970","1","1"
"353","","tw","2","18","新城鄉","","971","1","2"
"354","","tw","2","18","秀林鄉","","972","1","3"
"355","","tw","2","18","吉安鄉","","973","1","4"
"356","","tw","2","18","壽豐鄉","","974","1","5"
"357","","tw","2","18","鳳林鎮","","975","1","6"
"358","","tw","2","18","光復鄉","","976","1","7"
"359","","tw","2","18","豐濱鄉","","977","1","8"
"360","","tw","2","18","瑞穗鄉","","978","1","9"
"361","","tw","2","18","萬榮鄉","","979","1","10"
"362","","tw","2","18","玉里鎮","","981","1","11"
"363","","tw","2","18","卓溪鄉","","982","1","12"
"364","","tw","2","18","富里鄉","","983","1","13"
"365","","tw","2","19","宜蘭市","","260","1","1"
"366","","tw","2","19","頭城鎮","","261","1","2"
"367","","tw","2","19","礁溪鄉","","262","1","3"
"368","","tw","2","19","壯圍鄉","","263","1","4"
"369","","tw","2","19","員山鄉","","264","1","5"
"370","","tw","2","19","羅東鎮","","265","1","6"
"371","","tw","2","19","三星鄉","","266","1","7"
"372","","tw","2","19","大同鄉","","267","1","8"
"373","","tw","2","19","五結鄉","","268","1","9"
"374","","tw","2","19","冬山鄉","","269","1","10"
"375","","tw","2","19","蘇澳鎮","","270","1","11"
"376","","tw","2","19","南澳鄉","","272","1","12"
"377","","tw","2","19","釣魚臺","","290","1","13"
"378","","tw","2","20","馬公市","","880","1","1"
"379","","tw","2","20","西嶼鄉","","881","1","2"
"380","","tw","2","20","望安鄉","","882","1","3"
"381","","tw","2","20","七美鄉","","883","1","4"
"382","","tw","2","20","白沙鄉","","884","1","5"
"383","","tw","2","20","湖西鄉","","885","1","6"
"384","","tw","2","21","金沙鎮","","890","1","1"
"385","","tw","2","21","金湖鎮","","891","1","2"
"386","","tw","2","21","金寧鄉","","892","1","3"
"387","","tw","2","21","金城鎮","","893","1","4"
"388","","tw","2","21","烈嶼鄉","","894","1","5"
"389","","tw","2","21","烏坵鄉","","896","1","6"
"390","","tw","2","22","南竿鄉","","209","1","1"
"391","","tw","2","22","北竿鄉","","210","1","2"
"392","","tw","2","22","莒光鄉","","211","1","3"
"393","","tw","2","22","東引鄉","","212","1","4"
"396",,"tw","2","0","自取區"," ","987","1","38"
