id,code,country_code,parent_id,level,name,native_name,is_active,sort_order,created_at,updated_at
110,,TW,7,2,頭屋鄉,頭屋鄉,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
111,,TW,7,2,公館鄉,公館鄉,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
112,,TW,7,2,大湖鄉,大湖鄉,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
113,,TW,7,2,泰安鄉,泰安鄉,1,14,2/12/2025 11:44:23,2/12/2025 11:44:23
114,,TW,7,2,銅鑼鄉,銅鑼鄉,1,15,2/12/2025 11:44:23,2/12/2025 11:44:23
115,,TW,7,2,三義鄉,三義鄉,1,16,2/12/2025 11:44:23,2/12/2025 11:44:23
116,,TW,7,2,西湖鄉,西湖鄉,1,17,2/12/2025 11:44:23,2/12/2025 11:44:23
117,,TW,7,2,卓蘭鎮,卓蘭鎮,1,18,2/12/2025 11:44:23,2/12/2025 11:44:23
118,,TW,8,2,中區,中區,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
119,,TW,8,2,東區,東區,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
120,,TW,8,2,南區,南區,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
121,,TW,8,2,西區,西區,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
122,,TW,8,2,北區,北區,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
123,,TW,8,2,北屯區,北屯區,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
124,,TW,8,2,西屯區,西屯區,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
125,,TW,8,2,南屯區,南屯區,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
126,,TW,8,2,太平區,太平區,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
127,,TW,8,2,大里區,大里區,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
128,,TW,8,2,霧峰區,霧峰區,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
129,,TW,8,2,烏日區,烏日區,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
130,,TW,8,2,豐原區,豐原區,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
131,,TW,8,2,后里區,后里區,1,14,2/12/2025 11:44:23,2/12/2025 11:44:23
132,,TW,8,2,石岡區,石岡區,1,15,2/12/2025 11:44:23,2/12/2025 11:44:23
133,,TW,8,2,東勢區,東勢區,1,16,2/12/2025 11:44:23,2/12/2025 11:44:23
134,,TW,8,2,和平區,和平區,1,17,2/12/2025 11:44:23,2/12/2025 11:44:23
135,,TW,8,2,新社區,新社區,1,18,2/12/2025 11:44:23,2/12/2025 11:44:23
136,,TW,8,2,潭子區,潭子區,1,19,2/12/2025 11:44:23,2/12/2025 11:44:23
137,,TW,8,2,大雅區,大雅區,1,20,2/12/2025 11:44:23,2/12/2025 11:44:23
138,,TW,8,2,神岡區,神岡區,1,21,2/12/2025 11:44:23,2/12/2025 11:44:23
139,,TW,8,2,大肚區,大肚區,1,22,2/12/2025 11:44:23,2/12/2025 11:44:23
140,,TW,8,2,沙鹿區,沙鹿區,1,23,2/12/2025 11:44:23,2/12/2025 11:44:23
141,,TW,8,2,龍井區,龍井區,1,24,2/12/2025 11:44:23,2/12/2025 11:44:23
142,,TW,8,2,梧棲區,梧棲區,1,25,2/12/2025 11:44:23,2/12/2025 11:44:23
143,,TW,8,2,清水區,清水區,1,26,2/12/2025 11:44:23,2/12/2025 11:44:23
144,,TW,8,2,大甲區,大甲區,1,27,2/12/2025 11:44:23,2/12/2025 11:44:23
145,,TW,8,2,外埔區,外埔區,1,28,2/12/2025 11:44:23,2/12/2025 11:44:23
146,,TW,8,2,大安區,大安區,1,29,2/12/2025 11:44:23,2/12/2025 11:44:23
147,,TW,9,2,彰化市,彰化市,1,1,2/12/2025 11:44:23,2/12/2025 11:44:23
148,,TW,9,2,芬園鄉,芬園鄉,1,2,2/12/2025 11:44:23,2/12/2025 11:44:23
149,,TW,9,2,花壇鄉,花壇鄉,1,3,2/12/2025 11:44:23,2/12/2025 11:44:23
150,,TW,9,2,秀水鄉,秀水鄉,1,4,2/12/2025 11:44:23,2/12/2025 11:44:23
151,,TW,9,2,鹿港鎮,鹿港鎮,1,5,2/12/2025 11:44:23,2/12/2025 11:44:23
152,,TW,9,2,福興鄉,福興鄉,1,6,2/12/2025 11:44:23,2/12/2025 11:44:23
153,,TW,9,2,線西鄉,線西鄉,1,7,2/12/2025 11:44:23,2/12/2025 11:44:23
154,,TW,9,2,和美鎮,和美鎮,1,8,2/12/2025 11:44:23,2/12/2025 11:44:23
155,,TW,9,2,伸港鄉,伸港鄉,1,9,2/12/2025 11:44:23,2/12/2025 11:44:23
156,,TW,9,2,員林市,員林市,1,10,2/12/2025 11:44:23,2/12/2025 11:44:23
157,,TW,9,2,社頭鄉,社頭鄉,1,11,2/12/2025 11:44:23,2/12/2025 11:44:23
158,,TW,9,2,永靖鄉,永靖鄉,1,12,2/12/2025 11:44:23,2/12/2025 11:44:23
159,,TW,9,2,埔心鄉,埔心鄉,1,13,2/12/2025 11:44:23,2/12/2025 11:44:23
